Starting node index,Starting node osmid,Ending node index,Ending node osmid,Travel cost from the starting node to the ending node
7139,247701702,7239,315140299,0.00067753
7140,309309088,7141,309310038,0.000325464
7141,309310038,7142,247701538,0.00078083
7142,247701538,7242,1962391872,0.000390306
7149,255680546,7249,309309751,0.000427062
7153,1090520086,7253,259198914,0.000505617
7155,327776487,7156,315116272,0.00074281
7155,327776487,7255,327777202,0.000309759
7184,280135553,7185,270199975,0.000307641
7191,1964147508,7192,291635332,0.00068301
7191,1964147508,7291,280135560,0.000394533
7200,378119339,7201,279123911,0.000599197
7203,1716354048,7303,1086128537,0.000493482
7242,1962391872,7243,315136394,0.000445814
7243,315136394,7244,309309552,0.000683822
7244,309309552,7344,2116871645,6.39E-05
7246,309309094,7247,309309803,0.000787676
7246,309309094,7346,309309752,0.000214075
7247,309309803,7248,315132702,0.000512158
7248,315132702,7249,309309751,0.000189774
7253,259198914,7254,317344396,0.000587632
7254,317344396,7255,327777202,0.000315927
7254,317344396,7354,317344374,9.73E-05
7257,301336286,7357,301336287,0.00035205
7260,259199106,7360,292463612,0.000340093
7264,301336339,7265,413740040,0.000225814
7265,413740040,7365,294043349,0.000448711
7275,248530695,7276,10683108116,0.000303375
7275,248530695,7375,248530692,0.000417265
7276,10683108116,7376,248530689,0.000493932
7290,259665117,7291,280135560,0.000305164
7291,280135560,7391,259665025,0.000583909
7302,293813046,7303,1086128537,0.000164174
7303,1086128537,7304,309308373,0.000904285
7354,317344374,7454,259199417,0.000447226
7359,259198993,7360,292463612,0.00031538
7360,292463612,7361,301336338,0.000608801
7360,292463612,7460,259199103,0.00049186
7365,294043349,7366,413742858,0.00012181
7375,248530692,7376,248530689,0.000636757
7405,279123232,7406,277675792,0.000159508
7405,279123232,7505,295811357,0.000329793
7453,292470433,7454,259199417,0.000744749
7454,259199417,7455,907703579,0.000489461
7503,293813069,7603,293813070,0.000352212
7505,295811357,7605,293812956,0.000595985
7541,1363451445,7641,1363451448,0.000483477
7557,317341887,7558,317341903,0.000647192
7557,317341887,7657,301336288,0.000442002
7587,1333360890,7588,261721686,0.000275955
7588,261721686,7589,292458557,0.000789347
7589,292458557,7590,292458072,0.000402534
7641,1363451448,7642,1363451449,0.000136615
7650,257492852,7750,292469565,0.000424899
7652,301342402,7653,301344458,0.00017827
7652,301342402,7752,259332553,0.000421845
7653,301344458,7654,301344457,0.000837579
7672,292461247,7673,292460813,0.000386328
7771,246634716,7871,413743657,0.000157752
7794,292456421,7795,4239682792,0.000111241
7794,292456421,7894,3509784724,0.00026738
7795,4239682792,7895,3376430028,0.000192571
7857,9568295870,7957,9568295923,0.000180004
7860,259199421,7861,292462676,0.000540482
7870,294042828,7871,413743657,0.000210316
7894,3509784724,7895,3376430028,0.000266678
7895,3376430028,7896,292457348,0.000485606
7943,257493440,8043,1363447876,0.000429715
7956,9568295872,7957,9568295923,0.000282071
7998,259664879,7999,259664882,0.000648486
7999,259664882,8099,248530152,0.000300644
8043,1363447876,8044,1363447879,0.000107115
8063,1353681163,8064,301344799,0.000254259
8068,259199183,8069,289878493,0.000125782
8068,259199183,8168,309674407,0.000347519
8175,294043423,8275,294042830,0.000238229
8198,292457317,8298,1333360768,0.00020118
8260,907703594,8261,317342309,0.000236337
8261,317342309,8262,301344742,0.000809592
8266,259199425,8366,261725484,0.000122924
8291,294042611,8391,292457942,0.000362934
8296,292457417,8297,292457937,0.000589633
8297,292457937,8298,1333360768,0.000663267
8298,1333360768,8299,292457318,0.000419422
8301,277975679,8302,277675789,0.00092095
8348,257492719,8448,261733181,0.000454735
8351,255399469,8451,255398888,0.000211492
8385,2268323910,8386,261721800,0.000170892
8468,3661063233,8568,3661061624,0.000179987
8544,1764712989,8545,257491322,0.000326516
8545,257491322,8645,617834602,0.000506222
8554,966190932,8555,534440009,0.000716391
8586,294042578,8587,294042604,0.000534309
8622,1300215136,8623,1300215133,0.000348316
8622,1300215136,8722,1300215130,0.000289491
8645,617834602,8646,261731867,0.000474516
8646,261731867,8746,261726937,0.000487166
8689,261721881,8690,1333360906,0.000544733
8703,296297664,8803,296297981,0.000314776
8720,1809491650,8721,259282269,0.000363994
8721,259282269,8722,1300215130,0.000520797
8746,261726937,8747,261731858,0.000379223
8747,261731858,8748,2001545113,0.000538241
8748,2001545113,8848,2001545115,0.000289253
8793,261721675,8893,261721541,0.000241886
8802,1883246093,8803,296297981,0.000163274
8803,296297981,8903,293813808,0.000220983
8818,1300215131,8819,745474324,0.000171223
8818,1300215131,8918,259286257,0.000394576
8844,617834598,8845,617834591,0.000281008
8844,617834598,8944,1451005804,0.000596511
8869,255385755,8969,255385700,0.000389201
8882,1333360955,8883,294042584,0.00011619
8882,1333360955,8982,1333360655,0.000138312
8915,1425153011,9015,1425153021,0.00050754
8917,1425153017,8918,259286257,0.000518355
8918,259286257,9018,1300004438,0.000508153
8944,1451005804,9044,261732914,0.000299276
8960,255399519,8961,255399520,0.000113486
