u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
9532533136,5060969356,0,256877979,West Prairie Street,unclassified,False,12.989,,,,"LINESTRING (-97.1416196 33.210382, -97.14148 33.21038)"
9532533136,9532548563,0,256877979,West Prairie Street,unclassified,False,20.396,,,,"LINESTRING (-97.1416196 33.210382, -97.1418388 33.210385)"
9532540519,2973885440,0,437822208,West Highland Street,unclassified,True,10.922,,,20 mph,"LINESTRING (-97.1444895 33.2093226, -97.1443721 33.2093232)"
9532540520,6925216268,0,739641941,South Welch Street,unclassified,False,99.375,,,30 mph,"LINESTRING (-97.1443723 33.2094251, -97.1443741 33.2103188)"
9532540520,2973885440,0,739641941,South Welch Street,unclassified,False,11.331,,,30 mph,"LINESTRING (-97.1443723 33.2094251, -97.1443721 33.2093232)"
9532540521,2973895699,0,150153958,West Highland Street,residential,False,30.202,,,,"LINESTRING (-97.1442544 33.2093218, -97.1439298 33.2093181)"
9532540521,2973885440,0,150153958,West Highland Street,residential,False,10.951,,,,"LINESTRING (-97.1442544 33.2093218, -97.1443721 33.2093232)"
9532540522,2973885440,0,739641953,South Welch Street,unclassified,False,11.231,,,30 mph,"LINESTRING (-97.1443733 33.2092222, -97.1443721 33.2093232)"
9532540522,5791317415,0,739641953,South Welch Street,unclassified,False,42.735,,,30 mph,"LINESTRING (-97.1443733 33.2092222, -97.144378 33.2088379)"
9532548563,9532533136,0,256877979,West Prairie Street,unclassified,False,20.396,,,,"LINESTRING (-97.1418388 33.210385, -97.1416196 33.210382)"
9532548563,6749516035,0,256877979,West Prairie Street,unclassified,False,8.227,,,,"LINESTRING (-97.1418388 33.210385, -97.1419272 33.2103869)"
9532548564,6749516035,0,256877979,West Prairie Street,unclassified,False,16.449,,,,"LINESTRING (-97.142104 33.2103887, -97.1419272 33.2103869)"
9532548564,9532548565,0,256877979,West Prairie Street,unclassified,False,25.551,,,,"LINESTRING (-97.142104 33.2103887, -97.1423786 33.2103926)"
9532548565,9532548564,0,256877979,West Prairie Street,unclassified,False,25.551,,,,"LINESTRING (-97.1423786 33.2103926, -97.142104 33.2103887)"
9532548565,9036693276,0,256877979,West Prairie Street,unclassified,False,3.136,,,,"LINESTRING (-97.1423786 33.2103926, -97.1424123 33.2103931)"
9532564782,2657814580,0,256877974,West Chestnut Street,residential,False,34.888,,,,"LINESTRING (-97.1442411 33.2115237, -97.1438661 33.2115212)"
9532564782,81943314,0,256877974,West Chestnut Street,residential,False,11.078,,,,"LINESTRING (-97.1442411 33.2115237, -97.1443601 33.2115272)"
9532608562,81800565,0,365519037,Maple Street,unclassified,True,11.984,,,,"LINESTRING (-97.1460582 33.2082338, -97.146187 33.2082349)"
